DATE,CUUR0000SA0R
2009-01-01,47.400
2009-02-01,47.100
2009-03-01,47.000
2009-04-01,46.900
2009-05-01,46.800
2009-06-01,46.400
2009-07-01,46.400
2009-08-01,46.300
2009-09-01,46.300
2009-10-01,46.300
2009-11-01,46.200
2009-12-01,46.300
2010-01-01,46.100
2010-02-01,46.100
2010-03-01,45.900
2010-04-01,45.900
2010-05-01,45.800
2010-06-01,45.900
2010-07-01,45.900
2010-08-01,45.800
2010-09-01,45.800
2010-10-01,45.700
2010-11-01,45.700
2010-12-01,45.600
2011-01-01,45.400
2011-02-01,45.200
2011-03-01,44.700
2011-04-01,44.500
2011-05-01,44.300
2011-06-01,44.300
2011-07-01,44.300
2011-08-01,44.100
2011-09-01,44.100
2011-10-01,44.200
2011-11-01,44.200
2011-12-01,44.300
2012-01-01,44.100
2012-02-01,43.900
2012-03-01,43.600
2012-04-01,43.500
2012-05-01,43.500
2012-06-01,43.600
2012-07-01,43.600
2012-08-01,43.400
2012-09-01,43.200
2012-10-01,43.200
2012-11-01,43.400
2012-12-01,43.600
2013-01-01,43.400
2013-02-01,43.100
2013-03-01,43.000
2013-04-01,43.000
2013-05-01,42.900
2013-06-01,42.800
2013-07-01,42.800
2013-08-01,42.800
2013-09-01,42.700
2013-10-01,42.800
2013-11-01,42.900
2013-12-01,42.900
2014-01-01,42.800
2014-02-01,42.600
2014-03-01,42.300
2014-04-01,42.200
2014-05-01,42.000
2014-06-01,42.000
2014-07-01,42.000
2014-08-01,42.000
2014-09-01,42.000
2014-10-01,42.100
2014-11-01,42.300
2014-12-01,42.600
2015-01-01,42.800
2015-02-01,42.600
2015-03-01,42.400
2015-04-01,42.300
2015-05-01,42.100
2015-06-01,41.900
2015-07-01,41.900
2015-08-01,42.000
2015-09-01,42.000
2015-10-01,42.000
2015-11-01,42.100
2015-12-01,42.300
2016-01-01,42.200
2016-02-01,42.200
2016-03-01,42.000
2016-04-01,41.800
2016-05-01,41.600
2016-06-01,41.500
2016-07-01,41.600
2016-08-01,41.500
2016-09-01,41.400
2016-10-01,41.400
2016-11-01,41.400
2016-12-01,41.400
2017-01-01,41.200
2017-02-01,41.100
2017-03-01,41.000
2017-04-01,40.900
2017-05-01,40.900
2017-06-01,40.800
2017-07-01,40.900
2017-08-01,40.700
2017-09-01,40.500
2017-10-01,40.500
2017-11-01,40.500
2017-12-01,40.600
2018-01-01,40.300
2018-02-01,40.200
2018-03-01,40.100
